City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Weather Description
268,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.3,90,100,10.38,overcast clouds
269,Matagami,CA,49.7502,-77.6328,15.91,86,100,4.61,overcast clouds
270,Brae,GB,60.3964,-1.353,45.77,94,100,7.4,light rain
271,Sobolevo,RU,54.4299,31.8996,30.54,83,100,10.11,overcast clouds
272,Sampit,ID,-2.5333,112.95,86.25,58,100,3.76,overcast clouds
273,Khatanga,RU,71.9667,102.5,-48.1,100,100,3.85,overcast clouds
274,Karasjok,NO,69.4719,25.5112,-1.35,98,37,3.69,scattered clouds
275,Kimbe,PG,-5.5502,150.1429,76.3,92,100,4.12,light rain
276,Rogers,US,36.3668,-95.5836,38.93,81,0,8.05,clear sky
277,Lebu,CL,-37.6167,-73.65,56.5,92,9,19.64,clear sky
278,Paciran,ID,-6.8767,112.3761,83.46,75,98,16.49,overcast clouds
279,Vestmannaeyjar,IS,63.4427,-20.2734,29.53,72,100,20.49,overcast clouds
280,Port-Cartier,CA,50.0334,-66.8654,31.68,82,16,8.21,few clouds
281,Kalat,PK,29.0225,66.5916,43.95,17,0,1.88,clear sky
282,Svetlaya,RU,46.5389,138.3297,9.77,60,0,8.48,clear sky
283,Poso,ID,-1.3959,120.7524,87.15,63,99,6.29,overcast clouds
284,Banepa,NP,27.6298,85.5214,59.32,44,20,3.44,few clouds
285,New Norfolk,AU,-42.7826,147.0587,64.89,51,9,1.99,clear sky
286,Campeche,MX,19.0,-90.5,72.5,84,7,4.59,clear sky
287,Imeni Poliny Osipenko,RU,52.4201,136.4853,-21.48,96,5,3.74,clear sky
288,Gat,IL,31.61,34.7642,57.88,100,78,1.9,broken clouds
289,Venado Tuerto,AR,-33.7456,-61.9688,59.99,42,0,3.13,clear sky
290,Gizo,SB,-8.103,156.8419,84.2,73,98,11.83,light rain
291,Barsovo,RU,61.1667,73.1667,10.53,97,79,7.54,broken clouds
292,Qaqortoq,GL,60.7167,-46.0333,13.15,63,100,12.06,overcast clouds
293,Labytnangi,RU,66.6572,66.4183,0.82,95,100,21.85,light snow
294,Bonga,ET,7.2833,36.2333,72.28,50,0,1.25,clear sky
295,Abu Samrah,SY,35.3029,37.1841,46.26,44,62,4.83,broken clouds
296,Olafsvik,IS,64.8945,-23.7142,31.6,65,80,6.8,broken clouds
297,Bandundu,CD,-3.3167,17.3667,75.67,86,81,2.55,broken clouds
298,Tottori,JP,35.5,134.2333,39.27,81,75,12.66,broken clouds
299,Bull Savanna,JM,17.8868,-77.5902,68.49,82,0,6.08,clear sky
300,Yeppoon,AU,-23.1333,150.7333,98.38,64,49,17.67,scattered clouds
301,Dali,CN,25.7,100.1833,60.94,31,0,7.61,clear sky
302,Cabras,IT,39.93,8.5314,51.8,74,100,3.44,overcast clouds
303,Richards Bay,ZA,-28.783,32.0377,81.61,63,5,12.39,clear sky
304,Maniitsoq,GL,65.4167,-52.9,8.49,69,23,10.67,few clouds
305,Kafanchan,NG,9.5833,8.3,67.19,37,7,6.53,clear sky
306,Okha,RU,53.5739,142.9478,6.08,92,100,22.28,light snow
307,Ishim,RU,56.1128,69.4902,11.01,94,95,12.59,overcast clouds
308,Mount Gambier,AU,-37.8333,140.7667,62.55,52,6,12.48,clear sky
309,Huancavelica,PE,-12.7667,-74.9833,36.84,97,100,3.6,moderate rain
310,Collie,AU,-33.3667,116.15,92.3,15,1,8.3,clear sky
311,Pacifica,US,37.6138,-122.4869,51.13,90,0,8.99,clear sky
312,Itarema,BR,-2.9248,-39.9167,77.16,84,2,12.77,clear sky
313,Amapa,BR,1.0,-52.0,70.66,99,100,1.25,overcast clouds
314,La Peca,PE,-5.6111,-78.435,69.57,79,97,1.39,overcast clouds
315,Hauterive,FR,46.0901,3.4459,38.16,81,100,5.5,overcast clouds
316,Juneau,US,58.3019,-134.4197,36.21,97,100,3.44,overcast clouds
317,Vao,NC,-22.6667,167.4833,75.96,70,17,7.78,few clouds
318,Grand-Santi,GF,4.25,-54.3833,71.8,100,100,0.98,overcast clouds
319,San Quintin,MX,30.4833,-115.95,57.25,82,12,1.61,few clouds
320,Bom Jesus,BR,-9.0744,-44.3586,69.64,94,89,1.03,overcast clouds
321,Gushikawa,JP,26.3544,127.8686,65.43,56,75,14.97,broken clouds
322,Sembe,CG,1.6481,14.5806,76.93,59,100,1.32,overcast clouds
323,Aguimes,ES,27.9054,-15.4461,66.67,72,20,11.5,few clouds
324,Piranshahr,IR,36.701,45.1413,39.04,33,100,2.57,overcast clouds
325,Mtwara,TZ,-10.2667,40.1833,84.87,65,98,8.55,overcast clouds
326,Sunrise Manor,US,36.2111,-115.0731,49.87,77,0,11.5,clear sky
327,Strezhevoy,RU,60.7333,77.5889,8.44,94,94,8.08,overcast clouds
328,High Level,CA,58.5169,-117.136,-0.29,92,100,0.0,overcast clouds
329,Verkhnevilyuysk,RU,63.4453,120.3167,-12.69,97,100,6.42,overcast clouds
330,Bac Lieu,VN,9.285,105.7244,82.96,64,100,4.83,overcast clouds
331,Hornepayne,CA,49.2138,-84.7705,4.62,100,100,4.38,overcast clouds
332,Takoradi,GH,4.8845,-1.7554,76.33,79,97,3.24,overcast clouds
333,Remanso,BR,-9.6179,-42.0831,72.3,81,100,0.92,overcast clouds
334,Mareeba,AU,-17.0,145.4333,74.48,92,100,4.52,light rain
335,Maryville,US,35.7565,-83.9705,58.26,97,100,4.61,mist
336,Komsomolskiy,UZ,40.4272,71.7189,39.92,81,100,2.3,mist
337,Misratah,LY,32.3754,15.0925,59.49,74,49,8.48,scattered clouds
338,Svetlogorsk,BY,52.6333,29.7333,32.31,78,10,11.21,clear sky
339,Sangueya,GN,10.7,-14.3667,66.38,80,0,2.77,clear sky
340,Raudeberg,NO,61.9875,5.1352,41.67,58,100,13.69,overcast clouds
341,Acapulco,MX,16.8634,-99.8901,73.22,83,0,2.3,clear sky
342,Pozzallo,IT,36.7305,14.8499,52.0,77,0,4.63,clear sky
343,Sitka,US,57.0531,-135.33,46.29,57,100,12.66,overcast clouds
344,Puke,AL,42.0444,19.8997,38.86,92,100,6.58,overcast clouds
345,Princeton,US,25.5384,-80.4089,77.0,90,75,8.05,broken clouds
346,Port Blair,IN,11.6667,92.75,86.04,66,40,8.05,scattered clouds
347,Jawar,IN,23.0,76.5,66.04,26,0,11.39,clear sky
