City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Pemangkat,ID,2022-12-21 04:40:30,1.1667,108.9667,83.8,71,71,6.17
149,Karwar,IN,2022-12-21 04:40:30,14.8,74.1333,81.25,47,100,6.91
150,Thongwa,MM,2022-12-21 04:40:31,16.7619,96.5278,82.56,48,67,5.73
151,Macherla,IN,2022-12-21 04:40:31,16.4833,79.4333,78.57,50,81,4.97
152,Plettenberg Bay,ZA,2022-12-21 04:37:52,-34.0527,23.3716,62.2,67,51,4.29
153,Mpika,ZM,2022-12-21 04:40:32,-11.8343,31.4529,61.52,99,100,3.69
154,Hastings,GB,2022-12-21 04:38:44,50.8552,0.5729,50.79,99,91,14.45
155,Mitu,CO,2022-12-21 04:40:33,1.1983,-70.1733,71.37,98,100,0.74
156,Severo-Kurilsk,RU,2022-12-21 04:40:34,50.6789,156.125,32.31,96,100,14.2
157,Tapes,BR,2022-12-21 04:40:35,-30.6733,-51.3958,69.89,84,36,14.58
158,Pak Phanang,TH,2022-12-21 04:40:35,8.3511,100.202,87.82,71,71,12.3
159,Klaksvik,FO,2022-12-21 04:40:36,62.2266,-6.589,41.92,82,99,9.17
160,Goderich,CA,2022-12-21 04:40:36,43.7501,-81.7165,33.91,80,38,13.8
161,Luena,AO,2022-12-21 04:40:37,-11.7833,19.9167,62.69,96,99,4.94
162,Saucillo,MX,2022-12-21 04:40:38,28.0167,-105.2833,52.7,34,100,4.56
163,Lepley,RU,2022-12-21 04:40:38,54.3092,42.8599,7.83,100,90,1.63
164,Nalut,LY,2022-12-21 04:40:39,30.3333,10.85,49.82,61,25,6.82
165,Kushiro,JP,2022-12-21 04:40:40,42.975,144.3747,34.75,47,75,3.44
166,Ulaangom,MN,2022-12-21 04:40:40,49.9811,92.0667,-6.81,95,90,1.5
167,Walvis Bay,NA,2022-12-21 04:40:41,-22.9575,14.5053,64.09,93,5,2.55
168,Lagoa,PT,2022-12-21 04:37:56,39.05,-27.9833,63.16,88,95,21.47
169,Riverbank,US,2022-12-21 04:37:31,37.736,-120.9355,46.62,89,0,0.0
170,Faya,SA,2022-12-21 04:40:42,18.3851,42.4509,44.71,51,1,1.45
171,Geraldton,AU,2022-12-21 04:40:42,-28.7667,114.6,95.41,26,0,13.8
172,Hobyo,SO,2022-12-21 04:40:43,5.3505,48.5268,80.46,73,44,21.81
173,Dabakala,CI,2022-12-21 04:40:44,8.3667,-4.4333,70.9,20,67,4.23
174,Baykit,RU,2022-12-21 04:40:44,61.67,96.37,-8.37,97,100,2.8
175,Warrnambool,AU,2022-12-21 04:40:45,-38.3833,142.4833,71.91,50,100,8.95
176,Kavieng,PG,2022-12-21 04:40:45,-2.5744,150.7967,83.88,74,100,8.16
177,Tiksi,RU,2022-12-21 04:37:45,71.6872,128.8694,-11.45,99,100,2.75
178,Ambanja,MG,2022-12-21 04:40:46,-13.6833,48.45,78.73,75,74,0.34
179,Viedma,AR,2022-12-21 04:40:47,-40.8135,-62.9967,67.42,74,100,11.68
180,Bengkulu,ID,2022-12-21 04:40:47,-3.8004,102.2655,85.3,64,79,8.97
181,San Patricio,US,2022-12-21 04:40:48,28.017,-97.5169,54.84,79,90,5.84
182,Garowe,SO,2022-12-21 04:41:49,8.4054,48.4845,73.56,66,61,14.94
183,Namwala,ZM,2022-12-21 04:41:49,-15.7504,26.4384,68.32,88,94,3.06
184,Chegdomyn,RU,2022-12-21 04:41:50,51.1167,133.0167,-12.77,87,79,1.28
185,Egvekinot,RU,2022-12-21 04:41:51,66.3167,-179.1667,8.87,57,2,11.12
186,Lavrentiya,RU,2022-12-21 04:41:51,65.5833,-171.0,10.72,91,4,12.26
187,Lima,PE,2022-12-21 04:36:57,-12.0432,-77.0282,71.91,79,40,16.11
188,Palestina,PS,2022-12-21 04:41:52,31.9216,35.2033,49.95,93,6,2.35
189,Muriwai Beach,NZ,2022-12-21 04:41:53,-36.8167,174.45,75.76,57,64,2.42
190,Ondjiva,AO,2022-12-21 04:41:53,-17.0667,15.7333,69.12,33,88,1.95
191,Yarmouth,US,2022-12-21 04:41:44,41.7057,-70.2286,38.97,77,40,15.99
192,Awjilah,LY,2022-12-21 04:41:54,29.1081,21.2869,49.32,77,0,8.68
193,Seoul,KR,2022-12-21 04:41:54,37.5683,126.9778,36.84,87,75,2.3
194,Kirensk,RU,2022-12-21 04:41:55,57.7853,108.1119,-12.75,98,95,2.39
195,Mitsamiouli,KM,2022-12-21 04:41:55,-11.3847,43.2844,82.69,54,0,2.3
196,Puerto Baquerizo Moreno,EC,2022-12-21 04:41:56,-0.9,-89.6,71.78,85,59,7.38
197,Abaete,BR,2022-12-21 04:41:57,-19.16,-45.4458,66.65,98,94,4.65
198,Kahului,US,2022-12-21 04:41:57,20.8947,-156.47,75.85,69,20,8.05
199,Port Hardy,CA,2022-12-21 04:41:58,50.6996,-127.4199,21.38,73,40,9.22
200,San Carlos,VE,2022-12-21 04:41:58,9.6612,-68.5827,72.64,83,76,3.83
201,Xiaoweizhai,CN,2022-12-21 04:41:59,26.1903,107.5125,56.39,38,20,3.78
202,Mattru,SL,2022-12-21 04:42:00,7.6244,-11.8332,75.09,84,100,1.21
203,Sambava,MG,2022-12-21 04:42:00,-14.2667,50.1667,79.61,72,66,0.65
204,Iqaluit,CA,2022-12-21 04:42:01,63.7506,-68.5145,-4.27,76,20,12.66
205,Soyo,AO,2022-12-21 04:42:01,-6.1349,12.3689,76.66,83,100,6.11
206,Coahuayana,MX,2022-12-21 04:42:02,18.7333,-103.6833,69.89,74,95,2.73
207,Waingapu,ID,2022-12-21 04:42:02,-9.6567,120.2641,88.68,48,6,8.48
208,Santiago De Cuba,CU,2022-12-21 04:42:03,20.0247,-75.8219,73.51,83,20,1.14
209,Betioky,MG,2022-12-21 04:42:04,-23.7167,44.3833,73.89,87,100,6.42
210,Chicama,PE,2022-12-21 04:42:05,-7.8447,-79.1469,66.74,79,87,4.83
211,Tynda,RU,2022-12-21 04:42:05,55.1667,124.7167,-17.32,89,44,2.24
212,Tecoanapa,MX,2022-12-21 04:42:06,16.5167,-98.75,73.9,81,0,4.09
213,Ilulissat,GL,2022-12-21 04:42:07,69.2167,-51.1,17.62,41,38,4.61
214,Arman,RU,2022-12-21 04:42:07,59.7,150.1667,19.08,79,100,13.76
215,Buraydah,SA,2022-12-21 04:42:08,26.326,43.975,54.05,51,3,11.88
216,Marzuq,YE,2022-12-21 04:42:09,14.4,46.4667,62.24,35,1,2.13
217,Axim,GH,2022-12-21 04:37:52,4.8699,-2.2405,77.43,85,57,2.21
218,Nome,US,2022-12-21 04:42:10,64.5011,-165.4064,8.67,61,0,12.66
219,Castro,BR,2022-12-21 04:42:11,-24.7911,-50.0119,56.3,96,94,4.32
220,Fort Payne,US,2022-12-21 04:42:12,34.4442,-85.7197,40.91,75,100,3.44
221,Fortuna,US,2022-12-21 04:42:15,40.5982,-124.1573,52.14,94,100,5.75
222,Kalmunai,LK,2022-12-21 04:42:15,7.4167,81.8167,77.83,86,100,10.16
223,Gorodishche,RU,2022-12-21 04:42:17,48.8045,44.4744,27.48,93,0,17.9
224,Port Blair,IN,2022-12-21 04:42:17,11.6667,92.75,84.24,70,20,11.5
225,Southbridge,US,2022-12-21 04:38:30,42.0751,-72.0334,26.62,84,12,1.99
226,Faanui,PF,2022-12-21 04:43:18,-16.4833,-151.75,81.03,77,70,18.03
227,Christchurch,NZ,2022-12-21 04:39:56,-43.5333,172.6333,63.41,67,75,16.11
228,Meulaboh,ID,2022-12-21 04:43:19,4.1363,96.1285,83.68,62,87,2.64
229,Winfield,US,2022-12-21 04:41:53,37.2398,-96.9956,25.5,84,100,5.75
230,Sorong,ID,2022-12-21 04:43:20,-0.8833,131.25,84.25,74,95,7.96
231,Cherskiy,RU,2022-12-21 04:43:21,68.75,161.3,12.25,75,8,5.57
232,Berlevag,NO,2022-12-21 04:43:22,70.8578,29.0864,26.55,54,100,6.91
233,Iraray,PH,2022-12-21 04:43:22,8.9936,118.0511,83.62,72,81,2.28
234,Waipawa,NZ,2022-12-21 04:43:23,-41.4122,175.5153,54.25,85,100,9.98
235,Gat,IL,2022-12-21 04:43:24,31.61,34.7642,58.41,80,12,5.41
236,Prince George,CA,2022-12-21 04:43:24,53.9166,-122.753,-22.38,68,0,2.3
237,Boa Viagem,BR,2022-12-21 04:43:25,-5.1275,-39.7322,74.59,73,47,4.12
238,Noyabrsk,RU,2022-12-21 04:43:25,63.1994,75.4507,-2.38,98,100,9.17
239,Potrero Del Llano,MX,2022-12-21 04:43:26,21.05,-97.6833,63.57,79,99,4.5
240,Aleksandrovsk-Sakhalinskiy,RU,2022-12-21 04:43:27,50.8975,142.1561,8.29,85,83,4.21
241,Rocha,UY,2022-12-21 04:43:27,-34.4833,-54.3333,58.32,96,0,3.29
242,Sesheke,ZM,2022-12-21 04:43:28,-17.4759,24.2968,70.7,76,99,4.18
243,Abnub,EG,2022-12-21 04:43:29,27.2696,31.1511,55.62,89,8,8.61
244,Tongren,CN,2022-12-21 04:43:29,27.7172,109.1853,60.33,35,1,1.57
245,Lasa,IT,2022-12-21 04:43:30,46.6166,10.7002,36.48,82,100,2.37
246,Ahipara,NZ,2022-12-21 04:43:31,-35.1667,173.1667,68.38,78,26,9.19
247,Jijiga,ET,2022-12-21 04:43:31,9.35,42.8,60.4,53,5,5.17
248,Dharmadam,IN,2022-12-21 04:43:32,11.7833,75.4333,81.81,62,99,4.34
249,Kruisfontein,ZA,2022-12-21 04:43:32,-34.0033,24.7314,59.88,73,96,7.65
250,Lipin Bor,RU,2022-12-21 04:43:33,60.2622,37.9763,12.22,90,100,9.19
251,Khasan,RU,2022-12-21 04:43:34,42.4308,130.6434,30.18,96,100,4.94
252,Itoman,JP,2022-12-21 04:43:34,26.1247,127.6694,66.58,96,75,6.91
253,Ixtapa,MX,2022-12-21 04:43:35,20.7,-105.2,71.22,83,76,1.52
254,Qasigiannguit,GL,2022-12-21 04:43:36,68.8193,-51.1922,17.85,72,29,4.85
255,Hanyang,CN,2022-12-21 04:43:36,32.1371,105.5126,46.76,39,0,4.12
256,Nizwa,OM,2022-12-21 04:43:37,22.9333,57.5333,67.55,58,0,2.1
257,Kimbe,PG,2022-12-21 04:43:37,-5.5502,150.1429,85.71,70,100,5.61
258,Nanortalik,GL,2022-12-21 04:43:38,60.1432,-45.2371,21.22,52,0,5.28
259,Cacoal,BR,2022-12-21 04:43:39,-11.4386,-61.4472,71.62,99,97,3.06
260,Yabelo,ET,2022-12-21 04:43:39,4.8833,38.0833,63.91,30,91,11.03
261,Lamar,US,2022-12-21 04:43:40,33.6668,-95.5836,39.63,85,0,8.05
262,Bow Island,CA,2022-12-21 04:43:40,49.8668,-111.3684,-18.53,76,100,6.91
263,Alofi,NU,2022-12-21 04:43:41,-19.0595,-169.9187,84.09,65,6,10.36
264,Edmond,US,2022-12-21 04:43:00,35.6528,-97.4781,26.91,87,56,1.99
265,Naze,JP,2022-12-21 04:43:41,28.3667,129.4833,63.52,82,100,14.83
266,Cockburn Town,TC,2022-12-21 04:40:15,21.4612,-71.1419,76.96,73,40,9.22
267,Imbituba,BR,2022-12-21 04:43:42,-28.24,-48.6703,70.86,87,69,3.24
268,Olafsvik,IS,2022-12-21 04:43:42,64.8945,-23.7142,30.69,68,94,37.33
269,Kristiinankaupunki,FI,2022-12-21 04:43:43,62.2743,21.376,35.42,99,100,3.65
270,Vestmannaeyjar,IS,2022-12-21 04:43:44,63.4427,-20.2734,34.2,52,89,20.47
271,Manokwari,ID,2022-12-21 04:43:44,-0.8667,134.0833,81.59,79,93,8.81
272,Bagotville,AU,2022-12-21 04:43:45,-28.9833,153.4167,73.85,67,67,11.1
273,Gao,ML,2022-12-21 04:44:45,16.6362,1.637,60.15,34,28,15.19
274,Brae,GB,2022-12-21 04:44:46,60.3964,-1.353,45.09,71,76,14.05
275,Esperance,AU,2022-12-21 04:44:47,-33.8667,121.9,70.03,62,10,17.13
276,Kodiak,US,2022-12-21 04:44:47,57.79,-152.4072,26.11,80,100,5.75
277,Ulaanbaatar,MN,2022-12-21 04:44:48,47.9077,106.8832,-12.87,77,0,2.24
278,Svetlaya,RU,2022-12-21 04:44:48,46.5389,138.3297,17.58,54,6,2.35
279,Dyersburg,US,2022-12-21 04:40:01,36.0345,-89.3856,37.87,64,0,7.02
280,Chalus,IR,2022-12-21 04:44:49,36.655,51.4204,45.86,93,75,0.0
281,Mascote,BR,2022-12-21 04:44:50,-15.5631,-39.3025,69.44,98,100,2.17
